# No.	Zi	Source	IDC	Component A	Component B, or
# No.	Zi	Source	Single	IDC	Component.
# See `docs/lintelstat.py` for more details.
50765	𥪁	GTKP	⿰	立	甹
50766	𥪂	GTP	⿰	立	夾
50769	𥪅	V	⿰	立	吹
50770	𥪆	T	⿰	立	求
50771	𥪇	T	⿰	咅	勻
50771	𥪇	Z	⿰	咅	匀
50773	𥪉	T	⿰	立	谷
50774	𥪊	GTP	⿰	立	屈
50775	𥪋	G	⿰	立	录
50775	𥪋	TP	⿰	立	彔
50776	𥪌	GT	⿰	立	忝
50777	𥪍	GTP	⿰	立	委
50778	𥪎	GP	⿰	立	𤰞
50779	𥪏	GT	⿰	立	取
50783	𥪓	T	⿰	立	其
50784	𥪔	TK	⿰	立	易
50785	𥪕	GHT	⿰	立	秉
50787	𥪗	G	⿰	立	宗
50788	𥪘	GTPV	⿰	立	甚
50789	𥪙	GTP	⿰	立	頁
50790	𥪚	GTP	⿰	立	复
50791	𥪛	GT	⿱	政	立
50792	𥪜	H	⿰	立	亭
50793	𥪝	V	⿺	竜	中
50794	𥪞	V	⿺	竜	内
50794	𥪞	Z	⿺	竜	內
50795	𥪟	T	⿰	立	帝
50796	𥪠	T	⿱	立	軍
50798	𥪢	G	⿱	童	八
50800	𥪤	T	⿰	立	者
50801	𥪥	GT	⿰	立	芻
50802	𥪦	GT	⿰	立	奚
50803	𥪧	GT	⿰	立	真
50803	𥪧	UCS2003	⿰	立	眞
50804	𥪨	T	⿱	𣂜	立
50805	𥪩	T	⿰	立	員
50806	𥪪	T	⿰	立	豈
50807	𥪫	G	⿰	立	茤
50808	𥪬	Z	⿰	立	𢑛
50809	𥪭	T	⿱	斬	立
50810	𥪮	HT	⿰	立	章
50811	𥪯	GHTP	⿰	立	堯
50813	𥪱	GTPV	⿱	旋	立
50814	𥪲	T	⿰	立	絜
50815	𥪳	GT	⿰	立	最
50816	𥪴	G	⿰	章	夅
50817	𥪵	GT	⿰	臿	妾
50818	𥪶	GT	⿰	立	㫺
50819	𥪷	G	⿱	粥	立
50820	𥪸	V	⿰	立	等
50821	𥪹	G	⿰	立	隋
50824	𥪼	GTP	⿰	竒	竒
50826	𥪾	T	⿰	咅	員
50827	𥪿	GT	⿱	立	董
50829	𥫁	G	⿰	立	會
50830	𥫂	G	⿰	旬	童
50831	𥫃	GTKP	⿰	立	義
50837	𥫉	GT	⿰	立	𦎧
50838	𥫊	T	⿰	章	昷
50838	𥫊	Z	⿰	章	𥁕
50839	𥫋	G	⿱	𰄔	竝
50840	𥫌	V	⿰	立	磊
50842	𥫎	GTP	⿰	童	貟
50843	𥫏	T	⿺	竟	夏
50846	𥫒	T	⿰	章	𢜊
50852	𥫘	T	⿱	𥫗	亅
50853	𥫙	GTP	⿱	𥫗	丁
50854	𥫚	GT	⿱	𥫗	冂
50855	𥫛	GT	⿱	𥫗	厶
50856	𥫜	GT	⿱	𥫗	乂
50857	𥫝	GTP	⿱	𥫗	弋
50858	𥫞	GTP	⿱	𥫗	子
50859	𥫟	GTPV	⿱	𥫗	己
50860	𥫠	GT	⿱	𥫗	廾
50861	𥫡	GT	⿱	𥫗	亏
50861	𥫡	P	⿱	𥫗	亐
50862	𥫢	GT	⿱	𥫗	叉
50863	𥫣	J	⿱	𥫗	与
50864	𥫤	J	⿱	𥫗	弓
50865	𥫥	Z	⿱	𥫗	乇
50866	𥫦	T	⿱	𥫗	土
50868	𥫨	T	⿱	𥫗	川
50869	𥫩	H	⿱	𥫗	勺
50870	𥫪	G	⿱	𥫗	𰀠
50871	𥫫	GV	⿱	𥫗	下
50872	𥫬	G	⿱	𥫗	？
50873	𥫭	TV	⿱	𥫗	女
50875	𥫯	GT	⿱	𥫗	中
50876	𥫰	GT	⿱	𥫗	六
50877	𥫱	GTJP	⿱	𥫗	屯
50879	𥫳	GTP	⿱	𥫗	方
50880	𥫴	G	⿱	𥫗	市
50880	𥫴	TKP	⿱	𥫗	巿
50881	𥫵	GTP	⿱	𥫗	太
50882	𥫶	GT	⿱	𥫗	亓
50883	𥫷	GT	⿱	𥫗	勼
50884	𥫸	GT	⿱	𥫗	水
50885	𥫹	GT	⿱	𥫗	冘
50886	𥫺	GT	⿱	𥫗	冗
50887	𥫻	GT	⿱	𥫗	㸦
50888	𥫼	GT	⿱	𥫗	丹
50889	𥫽	GTP	⿱	𥫗	氏
50890	𥫾	T	⿱	𥫗	文
50891	𥫿	T	⿱	𥫗	戶
50891	𥫿	Z	⿱	𥫗	户
50892	𥬀	T	⿱	𥫗	云
50895	𥬃	T	⿱	𥫗	少
50896	𥬄	T	⿱	𥫗	手
50897	𥬅	T	⿱	𥫗	月
50897	𥬅	Z	⿱	𥫗	⺝
50898	𥬆	G	⿱	𥫗	井
50899	𥬇	GT	⿱	𥫗	犬
50900	𥬈	G	⿱	𥫗	从
50901	𥬉	GV	⿱	𥫗	勾
50902	𥬊	V	⿱	𥫗	斤
50903	𥬋	V	⿱	𥫗	兮
50904	𥬌	GT	⿱	𥫗	它
50905	𥬍	GT	⿱	𥫗	仙
50906	𥬎	GTPV	⿱	𥫗	末
50907	𥬏	GT	⿱	𥫗	乎
50908	𥬐	GT	⿱	𥫗	申
50910	𥬒	GTK	⿱	𥫗	犮
50911	𥬓	GTP	⿱	𥫗	幼
50912	𥬔	GTP	⿱	𥫗	去
50913	𥬕	GTP	⿱	𥫗	冉
50914	𥬖	GT	⿱	𥫗	㞋
50915	𥬗	GT	⿱	𥫗	旡
50916	𥬘	G	⿱	𥫗	𠂕
50917	𥬙	GT	⿱	𥫗	巨
50919	𥬛	GT	⿱	𥫗	𠂛
50920	𥬜	G	⿱	𥫗	匂
50921	𥬝	GTPV	⿱	𥫗	白
50922	𥬞	GT	⿱	𥫗	尔
50922	𥬞	Z	⿱	𥫗	尓
50923	𥬟	T	⿱	𥫗	𡗗
50924	𥬠	G	⿱	𥫗	刍
50925	𥬡	TK	⿱	𥫗	右
50926	𥬢	T	⿱	𥫗	左
50927	𥬣	T	⿱	𥫗	㓛
50928	𥬤	T	⿱	𥫗	巧
50929	𥬥	T	⿱	𥫗	目
50930	𥬦	T	⿱	𥫗	母
50932	𥬨	V	⿱	𥫗	丘
50933	𥬩	V	⿱	𥫗	尼
50934	𥬪	GTP	⿱	𥫗	戎
50935	𥬫	GTP	⿱	𥫗	舛
50936	𥬬	GT	⿱	𥫗	帇
50937	𥬭	GTP	⿱	𥫗	列
50938	𥬮	GTPV	⿱	𥫗	江
50939	𥬯	GTKP	⿱	𥫗	考
50940	𥬰	GP	⿱	𥫗	？
50940	𥬰	T	⿱	𥫗	𠕋
50941	𥬱	GT	⿱	𥫗	充
50942	𥬲	GT	⿱	𥫗	朵
50943	𥬳	GT	⿱	𥫗	此
50944	𥬴	GT	⿱	𥫗	羊
50945	𥬵	GTP	⿱	𥫗	而
50946	𥬶	GT	⿱	𥫗	玑
50947	𥬷	GT	⿱	𥫗	𠧗
50948	𥬸	GTK	⿱	𥫗	朶
50949	𥬹	GT	⿱	𥫗	共
50952	𥬼	GT	⿱	𥫗	刎
50953	𥬽	GT	⿱	𥫗	？
50954	𥬾	GT	⿱	𥫗	肌
50956	𥭀	T	⿱	𥫗	圴
50957	𥭁	T	⿱	𥫗	米
50958	𥭂	T	⿱	𥫗	忛
50959	𥭃	T	⿱	𥫗	圳
50960	𥭄	T	⿱	𥫗	𣂒
50961	𥭅	T	⿱	𥫗	𠮷
50964	𥭈	T	⿱	𥫗	向
50965	𥭉	T	⿱	𥫗	会
50966	𥭊	GT	⿱	𥫗	肉
50967	𥭋	GT	⿱	𥫗	多
50968	𥭌	GV	⿱	𥫗	宅
50969	𥭍	V	⿱	𥫗	尖
50970	𥭎	V	⿱	𥫗	汒
50971	𥭏	V	⿱	𥫗	牟
50972	𥭐	GT	⿱	𥫗	寽
50973	𥭑	GTPV	⿱	𥫗	求
50974	𥭒	GT	⿱	𥫗	囤
50975	𥭓	GT	⿱	𥫗	灼
50976	𥭔	GTP	⿱	𥫗	㓠
50977	𥭕	GTK	⿱	𥫗	邪
50978	𥭖	GTP	⿱	𥫗	肑
50979	𥭗	GTP	⿱	𥫗	夆
50980	𥭘	GT	⿱	𥫗	希
50981	𥭙	GT	⿱	𥫗	𦔮
50981	𥭙	P	⿱	𥫗	耴
50982	𥭚	GT	⿱	𥫗	吂
50983	𥭛	GTPV	⿱	𥫗	酉
50984	𥭜	GTP	⿱	𥫗	忌
50985	𥭝	GT	⿱	𥫗	妙
50986	𥭞	GT	⿱	𥫗	肙
50987	𥭟	GTP	⿱	𥫗	夋
50988	𥭠	GTK	⿱	𥫗	吾
50989	𥭡	GT	⿱	𥫗	志
50990	𥭢	GTP	⿱	𥫗	甹
50993	𥭥	GT	⿱	𥫗	䖝
50994	𥭦	GT	⿱	𥫗	㹞
50995	𥭧	GT	⿱	𥫗	圼
50996	𥭨	GT	⿱	𥫗	皃
50998	𥭪	GT	⿱	𥫗	佊
51000	𥭬	GT	⿱	𥫗	𦘴
51001	𥭭	GT	⿱	𥫗	坐
51002	𥭮	GT	⿱	𥫗	囧
51006	𥭲	GV	⿱	𥫗	牢
51007	𥭳	G	⿱	𥫗	狄
51008	𥭴	H	⿱	𥫗	辛
51009	𥭵	V	⿱	𥫗	那
51010	𥭶	V	⿱	𥫗	芒
51014	𥭺	T	⿱	𥫗	声
51016	𥭼	V	⿱	𥫗	录
51017	𥭽	T	⿱	𥫗	足
51018	𥭾	T	⿱	𥫗	串
51020	𥮀	T	⿱	𥫗	旳
51021	𥮁	T	⿱	𥫗	扱
51023	𥮃	T	⿱	𥫗	𠇽
51025	𥮅	GTP	⿱	𥫗	㺯
51026	𥮆	K	⿱	𥫗	何
51027	𥮇	V	⿱	𥫗	邦
51028	𥮈	V	⿱	𥫗	奔
51029	𥮉	HKV	⿱	𥫗	甫
51030	𥮊	V	⿱	𥫗	杜
51031	𥮋	V	⿱	𥫗	体
51032	𥮌	T	⿱	龷	竿
51033	𥮍	GT	⿱	𥫗	㸒
51034	𥮎	GTV	⿱	𥫗	𬌪
51035	𥮏	GTP	⿱	𥫗	典
51036	𥮐	GT	⿱	𥫗	周
51037	𥮑	GTP	⿱	𥫗	咎
51038	𥮒	GTP	⿱	𥫗	沾
51039	𥮓	GT	⿱	𥫗	㳎
51040	𥮔	GT	⿱	𥫗	叀
51041	𥮕	GTP	⿱	𥫗	杭
51042	𥮖	GT	⿱	𥫗	直
51043	𥮗	GTP	⿱	𥫗	匊
51044	𥮘	GT	⿱	𥫗	念
51045	𥮙	GT	⿱	𥫗	𦨉
51046	𥮚	T	⿱	𥫗	𠜂
51046	𥮚	Z	⿱	𥫗	𠛹
51047	𥮛	GTP	⿱	𥫗	臽
51048	𥮜	GP	⿱	𥫗	弥
51049	𥮝	GTKP	⿱	𥫗	屈
51052	𥮠	GTP	⿱	𥫗	拈
51053	𥮡	G	⿱	𥫗	命
51055	𥮣	GT	⿱	𥫗	𦊋
51056	𥮤	GT	⿱	𥫗	隶
51057	𥮥	GT	⿱	𥫗	析
51058	𥮦	GT	⿱	𥫗	㘠
51059	𥮧	GT	⿱	𥫗	𣏋
51060	𥮨	GT	⿱	𥫗	忩
51061	𥮩	GT	⿱	𥫗	兩
51062	𥮪	GT	⿱	𥫗	𦙃
51063	𥮫	GT	⿱	𥫗	𭁨
51064	𥮬	G	⿱	𥫗	易
51065	𥮭	GT	⿱	𥫗	㘴
51066	𥮮	GT	⿱	𥫗	𣐁
51067	𥮯	GT	⿱	符	大
51068	𥮰	G	⿱	𥫗	弧
51069	𥮱	G	⿱	𥫗	𡱅
51070	𥮲	J	⿱	𥫗	長
51071	𥮳	H	⿱	𥫗	亞
51072	𥮴	H	⿱	𥫗	𠗆
51073	𥮵	T	⿱	𥫗	宗
51075	𥮷	T	⿱	𥫗	𠰥
51080	𥮼	T	⿱	𥫗	抱
51081	𥮽	T	⿱	𥫗	匋
51082	𥮾	GT	⿱	𥫗	参
51083	𥮿	T	⿱	𥫗	𤆬
51084	𥯀	TK	⿱	𥫗	金
51085	𥯁	T	⿱	𥫗	徃
51086	𥯂	T	⿱	𥫗	往
51087	𥯃	G	⿱	𥫗	奄
51088	𥯄	G	⿱	𥫗	隹
51089	𥯅	K	⿱	𥫗	厓
51090	𥯆	HTK	⿱	𥫗	松
51091	𥯇	V	⿱	𥫗	乳
51092	𥯈	V	⿱	𥫗	板
51093	𥯉	V	⿱	𥫗	妬
51094	𥯊	V	⿱	𥫗	夜
51095	𥯋	V	⿱	𥫗	明
51096	𥯌	V	⿱	𥫗	知
51097	𥯍	V	⿱	𥫗	枚
51098	𥯎	V	⿱	𥫗	店
51099	𥯏	V	⿱	𥫗	供
51101	𥯑	GT	⿱	𥫗	垔
51102	𥯒	GTV	⿱	𥫗	哉
51103	𥯓	GTKV	⿱	𥫗	甚
51104	𥯔	GTK	⿱	𥫗	禹
51105	𥯕	GTP	⿱	𥫗	昜
51106	𥯖	GT	⿱	𥫗	度
51108	𥯘	GT	⿱	𥫗	耶
51109	𥯙	GT	⿱	𥫗	勁
51110	𥯚	GT	⿱	𥫗	恪
51111	𥯛	GT	⿱	𥫗	洛
51112	𥯜	GTV	⿱	𥫗	畏
51113	𥯝	GTV	⿱	𥫗	突
51114	𥯞	GT	⿱	𥫗	斿
51115	𥯟	GTP	⿱	𥫗	拜
51116	𥯠	GTP	⿱	𥫗	派
51117	𥯡	GT	⿱	𥫗	毗
51118	𥯢	GT	⿱	𥫗	亭
51120	𥯤	GHTKV	⿱	𥫗	韋
51121	𥯥	GTP	⿱	𥫗	臿
51122	𥯦	GTK	⿱	𥫗	建
51123	𥯧	GT	⿱	𥫗	迮
51124	𥯨	GHTKPV	⿱	𥫗	思
51125	𥯩	GTP	⿱	𥫗	斫
51126	𥯪	GTPV	⿱	𥫗	奏
51127	𥯫	GT	⿱	𥫗	癸
51128	𥯬	GT	⿱	𥫗	耎
51129	𥯭	GT	⿱	𥫗	昨
51130	𥯮	GTP	⿱	𥫗	臾
51131	𥯯	GTP	⿱	𥫗	𢈔
51132	𥯰	GTV	⿱	𥫗	盈
51133	𥯱	GT	⿱	笥	心
51135	𥯳	GT	⿱	𥫗	咢
51136	𥯴	GTP	⿱	𥫗	叜
51137	𥯵	GT	⿱	彖	竹
51138	𥯶	GT	⿱	𥫗	苦
51139	𥯷	GT	⿱	𥫗	胊
51139	𥯷	X	⿱	𥫗	朐
51140	𥯸	GT	⿱	𥫗	柱
51141	𥯹	GT	⿱	筑	廾
51143	𥯻	G	⿱	𥫗	㭊
51145	𥯽	GT	⿱	𥫗	竒
51146	𥯾	GT	⿱	𥫗	𭓯
51149	𥰁	H	⿱	𥫗	𭤯
51150	𥰂	GT	⿱	𥫗	秌
51151	𥰃	K	⿱	𥫗	軍
51152	𥰄	V	⿱	𥫗	苟
51154	𥰆	HTV	⿱	𥫗	帝
51155	𥰇	V	⿱	𥫗	計
51156	𥰈	V	⿱	𥫗	侱
51158	𥰊	V	⿰	答	下
51159	𥰋	T	⿱	𥫗	客
51160	𥰌	T	⿱	𥫗	炫
51161	𥰍	T	⿱	𥫗	剌
51162	𥰎	T	⿱	𥫗	𪭌
51163	𥰏	T	⿱	𥫗	𢭎
51168	𥰔	T	⿱	𥫗	品
51169	𥰕	T	⿱	𥫗	𦊁
51171	𥰗	T	⿱	𥫗	皅
51172	𥰘	GT	⿱	𥫗	能
51173	𥰙	G	⿱	𥫗	𢼸
51173	𥰙	T	⿱	𥫗	𣁋
51174	𥰚	GTP	⿱	𥫗	𦕈
51175	𥰛	GTP	⿱	𥫗	浮
51176	𥰜	GTKP	⿱	𥫗	桃
51177	𥰝	GTKP	⿱	𥫗	息
51178	𥰞	GT	⿱	𥫗	叟
51179	𥰟	GTP	⿱	𥫗	袁
51180	𥰠	GTP	⿱	𥫗	旅
51181	𥰡	GHTP	⿱	𥫗	敇
51182	𥰢	GTP	⿱	𥫗	扇
51183	𥰣	GTV	⿱	𥫗	留
51184	𥰤	GT	⿱	𥫗	流
51185	𥰥	GT	⿱	𥫗	奚
51186	𥰦	GT	⿱	𥫗	屐
51187	𥰧	GT	⿱	𥫗	倚
51188	𥰨	GTP	⿱	𥫗	剡
51190	𥰪	GT	⿱	𥫗	挐
51191	𥰫	GT	⿱	筴	口
51193	𥰭	GTP	⿱	𥫗	差
51194	𥰮	GT	⿱	𥫗	哿
51195	𥰯	GT	⿱	𥫗	哥
51196	𥰰	GT	⿱	筮	廾
51197	𥰱	GTP	⿱	𥫗	蚤
51198	𥰲	GTP	⿱	𥫗	烘
51199	𥰳	GT	⿱	𥫗	𮜿
51200	𥰴	GT	⿱	𥫗	𠣬
51200	𥰴	X	⿱	筍	兮
51201	𥰵	GT	⿱	𥫗	剖
51202	𥰶	GT	⿱	𥫗	害
51203	𥰷	GT	⿱	𥫗	㽜
51204	𥰸	G	⿱	𥫗	晋
51204	𥰸	TK	⿱	𥫗	晉
51205	𥰹	GT	⿱	𥫗	㬵
51206	𥰺	GT	⿱	筑	殳
51207	𥰻	GT	⿱	𫂁	口
51208	𥰼	GTP	⿱	𥫗	索
51209	𥰽	GT	⿱	𥫗	𰲚
51210	𥰾	GT	⿱	𥫗	窄
51211	𥰿	GT	⿱	筍	木
51212	𥱀	GTKP	⿱	𥫗	洿
51215	𥱃	G	⿱	𥫗	𨓜
51216	𥱄	GT	⿱	𥫗	蚕
51219	𥱇	GT	⿱	𥫗	䎡
51220	𥱈	G	⿱	𥫗	射
51221	𥱉	G	⿱	𥫗	狼
51222	𥱊	H	⿱	𥫗	席
51223	𥱋	J	⿱	𥫗	鿄
51224	𥱌	TK	⿱	𥫗	候
51225	𥱍	T	⿱	𥫗	軓
51229	𥱑	T	⿱	𥫗	羗
51230	𥱒	T	⿱	𥫗	𭰘
51231	𥱓	T	⿱	𥫗	𣐸
51232	𥱔	T	⿱	𥫗	盏
51232	𥱔	X	⿱	笺	皿
51234	𥱖	T	⿱	𥫗	孫
51239	𥱛	T	⿱	𥫗	栖
51240	𥱜	T	⿱	𥫗	框
51244	𥱠	T	⿱	𥫗	哠
51248	𥱤	TJ	⿱	𥫗	修
51250	𥱦	T	⿱	𥫗	紏
51251	𥱧	GK	⿱	𥫗	秦
51252	𥱨	GV	⿱	𥫗	素
51254	𥱪	V	⿱	𥫗	骨
51255	𥱫	V	⿱	𥫗	套
51256	𥱬	V	⿱	𥫗	記
51257	𥱭	V	⿱	𥫗	倀
51258	𥱮	V	⿱	𥫗	挼
51259	𥱯	V	⿱	𥫗	時
51260	𥱰	V	⿱	𥫗	徒
51261	𥱱	V	⿱	𥫗	站
51262	𥱲	V	⿱	𥫗	虔
51263	𥱳	T	⿱	𥫗	郎
51264	𥱴	V	⿱	𥫗	捕
51265	𥱵	GT	⿱	𥫗	習
51266	𥱶	GT	⿱	𥫗	爽
51267	𥱷	GT	⿱	𥫗	貪
51268	𥱸	GT	⿱	𥫗	區
51269	𥱹	GT	⿱	𥫗	莫
51270	𥱺	T	⿱	𥫗	䙴
51271	𥱻	GTP	⿱	𥫗	途
51272	𥱼	GTP	⿱	𥫗	渒
51273	𥱽	GT	⿱	𥫗	圈
51274	𥱾	GT	⿱	𥫗	鹵
51275	𥱿	GT	⿱	𥫗	處
51276	𥲀	GTP	⿱	𥫗	巢
51277	𥲁	GTP	⿱	𥫗	𤭃
51280	𥲄	GTP	⿱	𥫗	淡
51282	𥲆	GTP	⿱	𥫗	通
51283	𥲇	GT	⿱	𥫗	躭
51284	𥲈	GTP	⿱	𥫗	㒼
51285	𥲉	GT	⿱	𥫗	虖
51286	𥲊	GTP	⿱	𥫗	聊
51287	𥲋	GT	⿱	𥫗	衒
51288	𥲌	GT	⿱	𥫗	涵
51289	𥲍	GT	⿱	𥫗	曹
51290	𥲎	GT	⿱	𥫗	陸
51292	𥲐	GT	⿱	𥫗	梧
51293	𥲑	GHT	⿱	𥫗	曼
51297	𥲕	GT	⿱	𥫗	紫
51298	𥲖	GT	⿱	𥫗	𢽋
51299	𥲗	GT	⿱	𥫗	䧑
51300	𥲘	GTP	⿱	笯	衣
51302	𥲚	GTP	⿱	𥫗	淙
51303	𥲛	GT	⿱	𥫗	紨
51305	𥲝	GT	⿱	𥫗	𭽪
51307	𥲟	GTP	⿱	𥫗	釣
51308	𥲠	T	⿱	𥫗	望
51309	𥲡	GT	⿱	𥫗	窓
51311	𥲣	GT	⿱	𥫗	𧵆
51312	𥲤	G	⿱	𥫗	虚
51312	𥲤	HT	⿱	𥫗	虛
51313	𥲥	GT	⿱	𥫗	盒
51315	𥲧	GT	⿱	𥫗	梨
51316	𥲨	GT	⿱	𥫗	㲘
51318	𥲪	GT	⿱	𥫗	𠩺
51319	𥲫	GT	⿱	𥫗	剪
51321	𥲭	GV	⿱	𥫗	帶
51323	𥲯	T	⿱	𥫗	教
51324	𥲰	T	⿱	𥫗	豙
51325	𥲱	T	⿱	𥫗	淮
51327	𥲳	T	⿱	𥫗	掃
51329	𥲵	T	⿱	𥫗	掽
51330	𥲶	T	⿱	𥫗	捧
51336	𥲼	GTP	⿱	𥫗	𠊳
51337	𥲽	GT	⿱	𥫗	𫐩
51337	𥲽	UCS2003	⿺	辶	𥭭
51339	𥲿	K	⿱	𥫗	翏
51340	𥳀	HT	⿱	𥫗	尉
51342	𥳂	V	⿱	𥫗	畧
51343	𥳃	V	⿱	𥫗	啟
51344	𥳄	V	⿱	𥫗	寅
51345	𥳅	V	⿱	𥫗	這
51346	𥳆	GT	⿱	𥫗	敝
51347	𥳇	GTP	⿱	𥫗	復
51348	𥳈	GT	⿱	𥫗	毳
51349	𥳉	GTV	⿱	𥫗	都
51350	𥳊	GT	⿱	𥫗	發
51351	𥳋	GT	⿱	𥫗	叅
51352	𥳌	GT	⿱	𥫗	隆
51353	𥳍	GTP	⿱	𥫗	尋
51354	𥳎	GTP	⿱	筑	虫
51355	𥳏	GT	⿱	𥫗	幾
51356	𥳐	GTPV	⿱	𥫗	開
51357	𥳑	GTPV	⿱	𥫗	閒
51358	𥳒	GT	⿱	𥫗	減
51359	𥳓	GTV	⿱	𥫗	稍
51360	𥳔	GTP	⿱	𥫗	隋
51361	𥳕	GT	⿱	𥫗	舒
51362	𥳖	GT	⿱	𥫗	棓
51363	𥳗	GT	⿱	𥫗	須
51364	𥳘	GTP	⿱	𥫗	童
51365	𥳙	GT	⿱	𥫗	圌
51366	𥳚	GT	⿱	𥫗	然
51367	𥳛	GT	⿱	𥫗	就
51368	𥳜	GT	⿱	𥫗	陽
51369	𥳝	GTP	⿱	𥫗	惢
51370	𥳞	GTP	⿱	𥫗	粦
51371	𥳟	GT	⿱	𥫗	進
51372	𥳠	GT	⿱	𥫗	𨔛
51373	𥳡	GT	⿱	𥫗	賁
51374	𥳢	GT	⿱	𥫗	奠
51375	𥳣	GT	⿱	𥫗	最
51377	𥳥	GT	⿱	𥫗	甯
51381	𥳩	GT	⿱	𥫗	𭄁
51382	𥳪	GT	⿺	辶	算
51383	𥳫	GT	⿱	𥫗	䐌
51384	𥳬	GT	⿱	𥫗	黑
51385	𥳭	GT	⿱	𥫗	𣦃
51386	𥳮	GT	⿱	𥫗	絫
51387	𥳯	GT	⿱	𥫗	棤
51388	𥳰	GT	⿱	𥫗	尊
51389	𥳱	GT	⿱	𥫗	兟
51391	𥳳	GT	⿱	𥫗	提
51392	𥳴	GT	⿱	𥫗	殽
51393	𥳵	GP	⿱	𥫗	絶
51393	𥳵	T	⿱	𥫗	絕
51394	𥳶	GT	⿱	𥫗	掌
51395	𥳷	GT	⿱	𥫗	湔
51398	𥳺	GTP	⿱	𥫗	揔
51400	𥳼	G	⿱	𥫗	稈
51401	𥳽	GV	⿱	𥫗	欺
51402	𥳾	H	⿱	𥫗	鈞
51403	𥳿	T	⿱	𥫗	逸
51404	𥴀	T	⿱	䈞	土
51408	𥴄	T	⿱	𥫗	𦋐
51409	𥴅	T	⿱	𥫗	粞
51410	𥴆	T	⿱	𥫗	報
51411	𥴇	T	⿱	𥫗	棒
51412	𥴈	T	⿱	𥫗	棧
51414	𥴊	T	⿱	𥫗	敢
51416	𥴌	T	⿱	𮅕	木
51420	𥴐	G	⿱	𥫗	㠭
51421	𥴑	G	⿱	𥫗	𨠠
51423	𥴓	GT	⿱	𥫗	𡍮
51424	𥴔	GT	⿱	𥫗	睂
51425	𥴕	G	⿱	𥫗	猶
51426	𥴖	G	⿱	𥫗	椑
51427	𥴗	V	⿱	𥫗	統
51428	𥴘	V	⿱	𥫗	媒
51429	𥴙	V	⿱	𥫗	棹
51431	𥴛	V	⿱	𥫗	椎
51432	𥴜	V	⿱	𥫗	詔
51434	𥴞	T	⿱	𥫗	圍
51435	𥴟	T	⿱	𥫗	㮃
51436	𥴠	Z	⿱	𮅕	氺
51437	𥴡	GTP	⿱	𥫗	豊
51438	𥴢	GTV	⿱	𥫗	稚
51439	𥴣	GT	⿱	𥫗	艂
51440	𥴤	GT	⿱	𥫗	腱
51441	𥴥	GTP	⿱	𥫗	閞
51442	𥴦	GT	⿱	𥫗	遂
51443	𥴧	GTP	⿱	𥫗	豦
51444	𥴨	GTP	⿱	𥫗	愛
51445	𥴩	GTKP	⿱	𥫗	隔
51446	𥴪	GT	⿱	𥫗	遇
51447	𥴫	GT	⿱	𥫗	殿
51448	𥴬	GT	⿱	𥫗	辟
51449	𥴭	GTP	⿱	𥫗	楬
51450	𥴮	GTP	⿱	𥫗	搏
51451	𥴯	GT	⿱	𥫗	廆
51452	𥴰	GHT	⿱	𥫗	靖
51453	𥴱	GT	⿱	𥫗	廌
51454	𥴲	GTP	⿱	𥫗	愍
51456	𥴴	GT	⿱	𥫗	鉤
51458	𥴶	GT	⿱	䇨	貝
51459	𥴷	GT	⿱	𥫗	粲
51461	𥴹	GT	⿱	策	貝
51462	𥴺	GT	⿱	𥫗	慈
51463	𥴻	GT	⿱	𥫗	搶
51464	𥴼	G	⿱	𥫗	業
51465	𥴽	GT	⿱	𥫗	滌
51466	𥴾	GT	⿱	𥫗	㙛
51468	𥵀	G	⿱	𥫗	㬅
51469	𥵁	G	⿱	𥫗	盝
51470	𥵂	G	⿱	𥫗	虞
51471	𥵃	H	⿱	𥫗	盞
51471	𥵃	X	⿱	箋	皿
51472	𥵄	T	⿱	𥫗	溜
51473	𥵅	T	⿱	𥫗	楤
51474	𥵆	T	⿱	𥫗	意
51475	𥵇	T	⿱	𥫗	瑞
51476	𥵈	T	⿱	𥫗	塩
51477	𥵉	TV	⿱	𥫗	雷
51478	𥵊	T	⿱	𥫗	會
51481	𥵍	T	⿱	𥫗	獅
51482	𥵎	T	⿱	𥫗	賃
51483	𥵏	G	⿱	𥫗	酫
51484	𥵐	GT	⿱	𥫗	𤊽
51487	𥵓	G	⿱	𥫗	毁
51487	𥵓	T	⿱	𥫗	毀
51488	𥵔	K	⿱	𥫗	碑
51489	𥵕	V	⿱	𥫗	照
51490	𥵖	V	⿱	𥫗	腮
51491	𥵗	V	⿱	𥫗	歆
51493	𥵙	V	⿱	𥫗	罩
51494	𥵚	V	⿱	𥫗	勤
51495	𥵛	V	⿱	𥫗	農
51496	𥵜	GTP	⿱	𥫗	僕
51497	𥵝	GT	⿱	𥫗	領
51498	𥵞	GT	⿱	𥫗	截
51499	𥵟	GT	⿱	𥫗	署
51500	𥵠	G	⿱	𥫗	穀
51501	𥵡	GTP	⿱	𥫗	構
51502	𥵢	GT	⿱	𥫗	對
51503	𥵣	GTP	⿱	𥫗	端
51504	𥵤	GT	⿱	𥫗	綽
51505	𥵥	GT	⿱	𥫗	滿
51506	𥵦	GTP	⿱	𥫗	𨲆
51507	𥵧	GTP	⿱	𥫗	盡
51508	𥵨	GT	⿱	𥫗	臱
51509	𥵩	GT	⿱	𥫗	複
51510	𥵪	GT	⿱	𥫗	竮
