# No.	Zi	Source	IDC	Component A	Component B, or
# No.	Zi	Source	Single	IDC	Component.
# See `docs/lintelstat.py` for more details.
349	佝	GHTJKP	⿰	亻	句
350	佞	GHTJKPV	⿰	亻	𡚬
351	佟	GHTJKP	⿰	亻	冬
352	你	GHTJKPV	⿰	亻	尔
352	你	Z	⿰	亻	尓
353	佡	GHTP	⿰	亻	仚
354	佢	GHT	⿰	亻	巨
355	佣	GHTJK	⿰	亻	用
356	佤	GHTJ	⿰	亻	瓦
358	佦	GT	⿰	亻	石
359	佧	GHT	⿰	亻	卡
360	佨	GT	⿰	亻	包
361	佩	GHTJKP	⿰	亻	𫥞
362	佪	GHTJKP	⿰	亻	回
363	佫	GHTKP	⿰	亻	各
364	佬	GHTJKP	⿰	亻	老
365	佭	GT	⿰	亻	夅
366	佮	GHTJKP	⿰	亻	合
367	佯	GHTJKP	⿰	亻	羊
368	佰	GHTJKP	⿰	亻	百
369	佱	GTJ	⿱	？	正
369	佱	X	⿱	𠆢	㱏
370	佲	GHT	⿰	亻	名
371	佳	GHTJKPV	⿰	亻	圭
372	佴	GHTKP	⿰	亻	耳
374	佶	GHTJKP	⿰	亻	吉
375	佷	GHTJKP	⿰	亻	艮
376	佸	GHTJKP	⿰	亻	舌
377	佹	GHTJKP	⿰	亻	危
378	佺	GHTJKP	⿰	亻	全
379	佻	GHTJKPV	⿰	亻	兆
380	佼	GHTJKP	⿰	亻	交
381	佽	GHTJKP	⿰	亻	次
382	佾	GHTJKP	⿰	亻	䏌
383	使	GHTJKPV	⿰	亻	吏
384	侀	GHTKP	⿰	亻	刑
385	侁	GHTJKP	⿰	亻	先
386	侂	GHTJKP	⿰	亻	㡯
388	侄	GHTJKP	⿰	亻	至
389	侅	GHTJKPV	⿰	亻	亥
391	侇	GHTKP	⿰	亻	夷
392	侈	GHTJKPV	⿰	亻	多
393	侉	GHTJKP	⿰	亻	夸
394	侊	GHTJKP	⿰	亻	光
395	例	GHTJKPV	⿰	亻	列
396	侌	GTJK	⿱	今	云
397	侍	GHTJKPV	⿰	亻	寺
398	侎	GTJKP	⿰	亻	米
399	侏	GHTJKP	⿰	亻	朱
400	侐	GHTJKP	⿰	亻	血
401	侑	GHTJKP	⿰	亻	有
402	侒	GHTJKP	⿰	亻	安
403	侓	GTJKP	⿰	亻	聿
404	侔	GHTJKPV	⿰	亻	牟
405	侕	GHTKP	⿰	亻	而
406	侖	GHTJKPV	⿱	？	𠕁
407	侗	GHTJKP	⿰	亻	同
408	侘	GHTJKPV	⿰	亻	宅
409	侙	GTJKP	⿰	亻	式
410	侚	GHTJKP	⿰	亻	旬
411	供	GHTJKPV	⿰	亻	共
412	侜	GHTKP	⿰	亻	舟
413	依	GHTJKPV	⿰	亻	衣
414	侞	GHTJKP	⿰	亻	如
415	侟	GTJK	⿰	亻	存
416	侠	GTJKP	⿰	亻	夹
417	価	GTJKP	⿰	亻	覀
418	侢	GHT	⿰	亻	再
419	侣	GT	⿰	亻	吕
420	侤	GKP	⿰	亻	考
421	侥	G	⿰	亻	尧
422	侦	G	⿰	亻	贞
423	侧	G	⿰	亻	则
424	侨	GH	⿰	亻	乔
425	侩	G	⿰	亻	会
426	侪	G	⿰	亻	齐
427	侫	GHTJK	⿰	亻	妄
428	侬	G	⿰	亻	农
429	侭	GJ	⿰	亻	尽
430	侮	GHTKP	⿰	亻	每
430	侮	J	⿰	亻	毎
432	侰	GHTP	⿰	亻	君
433	侱	GTKV	⿰	亻	呈
434	侲	GHTJKP	⿰	亻	辰
435	侳	GHTKP	⿰	亻	坐
437	侵	GHTKPV	⿰	亻	𠬶
438	侶	GHTJKPV	⿰	亻	呂
439	侷	GHTJKP	⿰	亻	局
440	侸	GTKP	⿰	亻	豆
441	侹	GHTJKP	⿰	亻	廷
442	侺	GHTKP	⿰	亻	岑
443	侻	G	⿰	亻	兑
443	侻	HTJKP	⿰	亻	兌
444	侼	GTJKPV	⿰	亻	孛
445	侽	GHTJKP	⿰	亻	男
446	侾	GTJKP	⿰	亻	孝
447	便	GHTJKPV	⿰	亻	更
448	俀	GHTJKP	⿰	亻	妥
449	俁	GHTJKP	⿰	亻	吳
450	係	GHTJKPV	⿰	亻	系
451	促	GHTJKPV	⿰	亻	足
452	俄	GHTJKPV	⿰	亻	我
453	俅	GHTJKP	⿰	亻	求
454	俆	GMTJKP	⿰	亻	余
455	俇	GHTKP	⿰	亻	狂
456	俈	GTKP	⿰	亻	告
456	俈	HJ	⿰	亻	吿
457	俉	GHTJKP	⿰	亻	吾
458	俊	GHTJKPV	⿰	亻	夋
459	俋	GHTJKP	⿰	亻	邑
460	俌	GHTJKP	⿰	亻	甫
461	俍	GHTJKP	⿰	亻	良
462	俎	GHTJKP	⿰	仌	且
463	俏	GHTJKP	⿰	亻	肖
464	俐	GHTJKPV	⿰	亻	利
465	俑	GHTJKPV	⿰	亻	甬
466	俒	GTJKP	⿰	亻	完
467	俓	GHTKP	⿰	亻	巠
468	俔	GHTJKP	⿰	亻	見
469	俕	GTK	⿰	亻	宋
470	俖	GHTK	⿰	亻	否
471	俗	GHTJKP	⿰	亻	谷
472	俘	GHTJKP	⿰	亻	孚
473	俙	GHTKP	⿰	亻	希
474	俚	GHTJKPV	⿰	亻	里
475	俛	GHTKP	⿰	亻	免
476	俜	GHTJKP	⿰	亻	甹
477	保	GHTJKPV	⿰	亻	呆
478	俞	T	⿱	？	刖
479	俟	GHTJKP	⿰	亻	矣
480	俠	GHTJKPV	⿰	亻	夾
481	信	GHTJKPV	⿰	亻	言
482	俢	MTJP	⿰	亻	㣊
483	俣	GTJK	⿰	亻	吴
484	俤	GHTJK	⿰	亻	弟
485	俥	GHTJK	⿰	亻	車
486	俦	GJ	⿰	亻	寿
487	俧	GT	⿰	亻	志
488	俨	G	⿰	亻	严
489	俩	GT	⿰	亻	两
490	俪	G	⿰	亻	丽
491	俫	G	⿰	亻	来
492	俬	GHT	⿰	亻	私
493	俭	G	⿰	亻	佥
495	俯	GHTJKPV	⿰	亻	府
496	俰	GHTJKPV	⿰	亻	和
497	俱	GHTKPV	⿰	亻	具
498	俲	GHTJKP	⿰	亻	効
499	俳	GHTJKPV	⿰	亻	非
500	俴	GHTKP	⿰	亻	戔
501	俵	GHTJKPV	⿰	亻	表
502	俶	GHTJKP	⿰	亻	叔
503	俷	GHTKP	⿰	亻	肥
504	俸	GHTJKPV	⿰	亻	奉
505	俹	GHTKP	⿰	亻	亞
506	俺	GHTJKPV	⿰	亻	奄
507	俻	GTP	⿰	亻	备
508	俼	GTJK	⿰	亻	育
509	俽	GHTJKP	⿰	亻	欣
510	俾	GHTKP	⿰	亻	卑
511	俿	GTJKP	⿰	亻	虎
512	倀	GHTJKPV	⿰	亻	長
513	倁	GTJP	⿰	亻	知
515	倃	GHTKP	⿰	亻	咎
516	倄	GTJK	⿰	亻	肴
517	倅	GHTJKP	⿰	亻	卒
518	倆	GHTJKP	⿰	亻	兩
519	倇	GHTJKP	⿰	亻	宛
520	倈	GHTKPV	⿰	亻	來
522	倊	GTJP	⿰	亻	忩
523	個	GHTJKPV	⿰	亻	固
524	倌	GHTJKP	⿰	亻	官
525	倍	GHTJKPV	⿰	亻	咅
526	倎	GHTJKP	⿰	亻	典
529	們	GHTJKPV	⿰	亻	門
530	倒	GHTJKPV	⿰	亻	到
531	倓	GHTJKP	⿰	亻	炎
532	倔	GHTJKPV	⿰	亻	屈
533	倕	GHTKP	⿰	亻	垂
534	倖	GHTJKPV	⿰	亻	幸
535	倗	GHTJKP	⿰	亻	朋
536	倘	GHTV	⿰	亻	尚
536	倘	JKP	⿰	亻	尙
538	倚	GHTJKPV	⿰	亻	奇
539	倛	GHTJKP	⿰	亻	其
540	倜	GHTKP	⿰	亻	周
541	倝	GTJKP	⿰	𠦝	人
542	倞	GHTJKP	⿰	亻	京
543	借	GHTJKPV	⿰	亻	昔
544	倠	GHTKP	⿰	亻	隹
545	倡	GHTJKPV	⿰	亻	昌
546	倢	GHTJKP	⿰	亻	疌
547	倣	GHTJKPV	⿰	亻	放
548	値	JKP	⿰	亻	直
549	倥	GHTJKP	⿰	亻	空
550	倦	GHTJKP	⿰	亻	卷
551	倧	GHTJKP	⿰	亻	宗
552	倨	GHTJKP	⿰	亻	居
553	倩	GHMTV	⿰	亻	青
553	倩	JKP	⿰	亻	靑
554	倪	GHTJKPV	⿰	亻	兒
555	倫	GHTJKPV	⿰	亻	侖
556	倬	GHTJKPV	⿰	亻	卓
557	倭	GHTJKPV	⿰	亻	委
558	倮	GHTJKP	⿰	亻	果
559	倯	GHTKP	⿰	亻	松
560	倰	GHTJKP	⿰	亻	夌
561	倱	GHTKP	⿰	亻	昆
562	倲	GTJKP	⿰	亻	東
563	倳	GHTJKP	⿰	亻	事
564	倴	GHT	⿰	亻	奔
565	倵	GHTJK	⿰	亻	武
566	倶	J	⿰	亻	具
567	倷	GHT	⿰	亻	奈
568	倸	GTK	⿰	亻	采
569	倹	GTJKP	⿰	亻	㑒
570	债	G	⿰	亻	责
571	倻	GHJKP	⿰	亻	耶
572	值	GHT	⿰	亻	直
573	倽	G	⿰	亻	舍
574	倾	G	⿰	亻	顷
575	倿	GT	⿰	亻	妾
576	偀	GHTJK	⿰	亻	英
577	偁	GHTJKP	⿰	亻	爯
578	偂	GTP	⿰	亻	前
579	偃	GHTJKPV	⿰	亻	匽
580	偄	GTKP	⿰	亻	耎
581	偅	GHTJKPV	⿰	亻	重
582	偆	GHTJKP	⿰	亻	春
583	假	GHTJKPV	⿰	亻	叚
584	偈	GHTJKPV	⿰	亻	曷
585	偉	GHTJKPV	⿰	亻	韋
586	偊	GHTJKP	⿰	亻	禹
587	偋	GHTKP	⿰	亻	屏
588	偌	GHTJKP	⿰	亻	若
589	偍	GHTKP	⿰	亻	是
590	偎	GHTJKPV	⿰	亻	畏
591	偏	GHTJKPV	⿰	亻	扁
592	偐	GTP	⿰	亻	彦
592	偐	JK	⿰	亻	彥
593	偑	GHTJK	⿰	亻	風
594	偒	GTJKP	⿰	亻	昜
595	偓	GHTJKP	⿰	亻	屋
596	偔	GTP	⿰	亻	咢
597	偕	GHTJKP	⿰	亻	皆
598	偖	GHTKV	⿰	亻	者
599	偗	GHTJKP	⿰	亻	省
600	偘	GHTKP	⿰	亻	品
601	偙	GTJKP	⿰	亻	帝
602	做	GHTJKP	⿰	亻	故
603	偛	GHTKP	⿰	亻	臿
604	停	GHTJKPV	⿰	亻	亭
605	偝	GHTKP	⿰	亻	背
606	偞	GHTKP	⿰	亻	枼
607	偟	GHTJKP	⿰	亻	皇
608	偠	GHTJKP	⿰	亻	要
609	偡	GHTKP	⿰	亻	甚
610	偢	GHTJKP	⿰	亻	秋
611	偣	GHTJK	⿰	亻	音
612	偤	GHTK	⿰	亻	酋
613	健	GHTJKPV	⿰	亻	建
614	偦	GHTJKP	⿰	亻	胥
615	偧	GTJK	⿰	亻	奓
616	偨	GHTKPV	⿰	亻	柴
617	偩	GHTKP	⿰	亻	負
618	偪	GHTJKPV	⿰	亻	畐
619	偫	GHTKP	⿰	亻	待
620	偬	GHTJKP	⿰	亻	怱
621	偭	GHTJKP	⿰	亻	面
622	偮	GHTKP	⿰	亻	咠
623	偯	GHTKP	⿰	亻	哀
624	偰	GHTJKP	⿰	亻	契
625	偱	GTJK	⿰	亻	盾
626	偲	GHTJKP	⿰	亻	思
627	偳	GHTK	⿰	亻	耑
628	側	GHTJKPV	⿰	亻	則
629	偵	GHTJKPV	⿰	亻	貞
630	偶	GHTJKPV	⿰	亻	禺
631	偷	GHTV	⿰	亻	俞
632	偸	GTJKP	⿰	亻	兪
634	偺	GHTP	⿰	亻	昝
635	偻	GTPV	⿰	亻	娄
638	偾	G	⿰	亻	贲
639	偿	G	⿰	亻	尝
640	傀	GHTJKP	⿰	亻	鬼
641	傁	GHTJK	⿰	亻	叟
642	傂	GHTKP	⿰	亻	虒
643	傃	GHTJKP	⿰	亻	素
644	傄	GTJP	⿰	亻	眘
645	傅	GHTJKPV	⿰	亻	尃
646	傆	GTJKP	⿰	亻	原
647	傇	GHTKP	⿰	亻	茸
648	傈	GHTJ	⿰	亻	栗
649	傉	T	⿰	亻	辱
650	傊	GTJ	⿰	亻	員
651	傋	GHTKP	⿰	亻	冓
652	傌	GHTKPV	⿰	亻	馬
653	傍	GHTJKPV	⿰	亻	旁
654	傎	GHT	⿰	亻	真
654	傎	JKP	⿰	亻	眞
655	傏	GTJKP	⿰	亻	唐
656	傐	GHTJ	⿰	亻	高
657	傑	GHTJKPV	⿰	亻	桀
658	傒	GHTJKP	⿰	亻	奚
659	傓	GTJ	⿰	亻	扇
660	傔	GHTJKP	⿰	亻	兼
661	傕	GHTJKPV	⿰	亻	隺
662	傖	GHTJKP	⿰	亻	倉
663	傗	GT	⿰	亻	畜
665	備	GHTJKPV	⿰	亻	𤰇
666	傚	GHTJKP	⿰	亻	效
667	傛	GHTJKP	⿰	亻	容
668	傜	GHTJKP	⿰	亻	䍃
669	傝	GHTKP	⿰	亻	𦐇
670	傞	GHTJKP	⿰	亻	差
671	傟	GTJK	⿰	亻	翁
672	傠	GTJKP	⿰	亻	討
673	傡	GTJ	⿰	亻	竝
674	傢	GHTJKP	⿰	亻	家
675	傣	GHTJ	⿰	亻	泰
676	傤	G	⿰	亻	载
677	傥	G	⿰	亻	党
678	傦	GHTV	⿰	亻	骨
679	傧	G	⿰	亻	宾
680	储	G	⿰	亻	诸
681	傩	G	⿰	亻	难
682	傪	GTJKP	⿰	亻	參
683	傫	GTP	⿰	亻	累
684	催	GHTJKPV	⿰	亻	崔
685	傭	GHTJKP	⿰	亻	庸
686	傮	GHTKP	⿰	亻	曹
687	傯	GHJKP	⿰	亻	悤
688	傰	GHTJKP	⿰	亻	崩
689	傱	GHTJKPV	⿰	亻	從
690	傲	GHTJK	⿰	亻	敖
691	傳	GHTJKPV	⿰	亻	專
692	傴	GHTJKP	⿰	亻	區
693	債	GHTJKPV	⿰	亻	責
694	傶	GHTKP	⿰	亻	戚
695	傷	GHTJKPV	⿰	亻	𬀷
696	傸	GHTK	⿰	亻	爽
697	傹	GTJKP	⿰	亻	竟
698	傺	GHTJKP	⿰	亻	祭
699	傻	GHTJKP	⿰	亻	𡕩
700	傼	GHT	⿰	亻	𦰩
701	傽	GHTJKP	⿰	亻	章
702	傾	GHTJKPV	⿰	亻	頃
703	傿	GHTKP	⿰	亻	焉
704	僀	GTJK	⿰	亻	帶
705	僁	GHTKP	⿰	亻	悉
706	僂	GHTJKPV	⿰	亻	婁
707	僃	TJK	⿰	亻	𤰈
708	僄	GHTJKPV	⿰	亻	票
709	僅	GHTJKP	⿰	亻	堇
710	僆	GHTKP	⿰	亻	連
711	僇	GHTJKP	⿰	亻	翏
712	僈	GHTKPV	⿰	亻	曼
714	僊	HTKP	⿰	亻	䙴
715	僋	GHTK	⿰	亻	貪
716	僌	GTJK	⿰	亻	𨊴
717	働	GHTJK	⿰	亻	動
718	僎	GHTJKP	⿰	亻	巽
719	像	GHTJKPV	⿰	亻	象
720	僐	GHTJK	⿰	亻	善
721	僑	GHTJKPV	⿰	亻	喬
722	僒	GTP	⿰	亻	窘
723	僓	GHTJKPV	⿰	亻	貴
724	僔	GHTJKP	⿰	亻	尊
725	僕	GHTJKPV	⿰	亻	菐
726	僖	GHTJKP	⿰	亻	喜
727	僗	GHTKP	⿰	亻	勞
728	僘	GTJKV	⿰	亻	敞
729	僙	G	⿰	亻	黄
729	僙	HTJKP	⿰	亻	黃
730	僚	GHTJKPV	⿰	亻	尞
731	僛	GHTKP	⿰	亻	欺
732	僜	GTJKP	⿰	亻	登
733	僝	GHTJKPV	⿰	亻	孱
735	僟	GHTJKP	⿰	亻	幾
736	僠	GHTK	⿰	亻	番
737	僡	GHTJK	⿰	亻	惠
